,Doctor_name,Specialization,Experience,City_name,Area,Hospital_name,Consultation_fee,Recommendation
0,Dr. M. R. Pujari,Dentist,16,Bangalore,"Basavanagudi,",32 Smiles Multispeciality Dental Clinic,200,96% 
1,Dr. Krishnanand,Dentist,11,Bangalore,"Old Airport Road,",Royal Smiles Multi Speciality Dental and Facial Aesthetics Centre,200,100% 
2,Dr. Nikhar Ravinder,Dentist,20,Bangalore,"Whitefield,",Dentalign,600,99% 
3,Dr. Pranay,Dentist,12,Bangalore,"Koramangala,",SmileCure Multispeciality Dental Clinic,550,97% 
4,Dr. Shantipriya Reddy,Dentist,32,Bangalore,"Hebbal,",Manipal Hospital,500,93% 
5,Dr. Nishanth Shetty,Dentist,11,Bangalore,"Banaswadi,",Imprssns n Exprssns,200,100% 
6,Dr. Monica Rao,Dentist,12,Bangalore,"HAL 2nd Stage,",Tash-Dent A Multispeciality Dental Care,200,98% 
7,Dr. Smitha Shetty,Dentist,19,Bangalore,"Malleshpalya,",Smile and Glow Multispeciality Dental Clinic,300,100% 
8,Dr. Geeta Shreekar,Dentist,38,Bangalore,"Koramangala 5 Block,",Aesthetic Dental Care,300,93% 
9,Dr. Bipin Chandra Reddy,Dentist,22,Bangalore,"Kalyan Nagar,",Tooth Affair,300,96% 
10,Dr. Vidya Muralidhar,Gynecologist/Obstetrician,13,Bangalore,"Jayanagar 4 Block,",Maathrika Women's Speciality Clinic,400,98% 
11,Dr. Phani Madhuri,Gynecologist/Obstetrician,19,Bangalore,"Jayanagar,",MAK Speciality Health Center,700,95% 
12,Dr. Radha S Rao,Gynecologist/Obstetrician,23,Bangalore,"Sarjapur Road,",Apollo Cradle & Children’s Hospital,700,98% 
13,Dr. Brunda Channappa,Gynecologist/Obstetrician,32,Bangalore,"Jayanagar,",Cloudnine Hospital - Jayanagar,850,89% 
14,Dr. Chitra Ramamurthy,Gynecologist/Obstetrician,42,Bangalore,"Marathahalli,",Apollo Hospital,850,94% 
15,Dr. Basavaraj  Devarashetty,Gynecologist/Obstetrician,25,Bangalore,"Marathahalli,",Vishvas Fertility and Gynaecology Centre,700,98% 
16,Dr. Vidyamani Boriah,Gynecologist/Obstetrician,52,Bangalore,"Yeshwanthpur,",Sagar Chandramma Hospitals,600,91% 
17,Dr. Deepthi RK Shashidhar,Gynecologist/Obstetrician,15,Bangalore,"JP Nagar 8 Phase,",First Care Clinic,600,98% 
18,Dr. Deepak V Rao,Gynecologist/Obstetrician,31,Bangalore,"Sahakaranagar,",Motherhood Hospital,700,98% 
19,Dr. Mala Prakash,Gynecologist/Obstetrician,37,Bangalore,"Jayanagar 5 Block,",Apollo Hospital,850,94% 
20,Dr. Anusha N D,General Physician,11,Bangalore,"Indiranagar,",Kasper Multispecialty Clinic,800,100% 
21,Dr. S M Fayaz,General Physician,11,Bangalore,"Whitefield,",Kinder Women's Hospital and Fertility Centre,600,98% 
22,Dr. Shivaram HR,General Physician,21,Bangalore,"Kanakpura Road,",Viveks Multi Speciality Clinic & Diagnostics,600,96% 
23,Dr. Soumya Y S,General Physician,24,Bangalore,"Uttarahalli,",Soukhya Family Clinic,500,98% 
24,Dr. Tharanath S,General Physician,10,Bangalore,"Sahakaranagar,",NCD Clinics,550,99% 
25,Dr. Prathibha,General Physician,14,Bangalore,"Kothanur,",Sai Krupa Clinic,350,100% 
26,Dr. P. Suprabha,General Physician,34,Bangalore,"Whitefield,",Cosmo Clinic & Diagnostic Centre,450,95% 
27,Dr. Malathi Ramesh,General Physician,30,Bangalore,"HSR Layout,",Dr. Mercy's  Clinic,400,98% 
